Company Name,LinkedIn URL,Status
GlobalLogic,https://www.linkedin.com/company/globallogic,Success
Home Credit Finance,https://www.linkedin.com/company/home-credit-international,Success
Bank of America,https://www.linkedin.com/company/bank-of-america,Success
FIS,https://www.linkedin.com/company/fis,Success
IGT Solutions,https://www.linkedin.com/company/igtsolutions,Success
BT Group,https://uk.linkedin.com/company/bt,Success
Publicis Sapient,https://www.linkedin.com/company/publicissapient,Success
JLL,https://www.linkedin.com/company/jll,Success
NatWest Group,https://uk.linkedin.com/company/natwest-group,Success
Paisabazaar.com,https://in.linkedin.com/company/paisabazaar,Success
R1 RCM,https://www.linkedin.com/company/r1-rcm,Success
Ericsson,https://www.linkedin.com/company/ericsson,Success
Delhivery,https://www.linkedin.com/company/delhivery,Success
Pristyn Care,https://in.linkedin.com/company/pristyncare,Success
Capgemini,https://www.linkedin.com/company/capgemini,Success
Oyo Rooms,https://in.linkedin.com/company/oyo-rooms,Success
CARS24,https://in.linkedin.com/company/cars24,Success
JBM Group,https://in.linkedin.com/company/jbm-group,Success
EXL Service,https://www.linkedin.com/company/exl-service,Success
Evalueserve,https://www.linkedin.com/company/evalueserve,Success
Mercer,https://www.linkedin.com/company/mercer,Success
CBRE,https://www.linkedin.com/company/cbre,Success
Optum,https://www.linkedin.com/company/optum,Success
Orange Business,https://www.linkedin.com/company/orange-business,Success
Medanta the Medicity,https://in.linkedin.com/company/medanta,Success
Square Yards,https://in.linkedin.com/company/square-yards,Success
Hero MotoCorp,https://in.linkedin.com/company/heromotocorp,Success
Startek,https://www.linkedin.com/company/startek,Success
Planet Spark,https://in.linkedin.com/company/planet-spark,Success
Flipkart,https://in.linkedin.com/company/flipkart,Success
NIIT,https://in.linkedin.com/company/niit-limited,Success
Max Life Insurance,https://in.linkedin.com/company/max-life-insurance-company-limited,Success
Lenskart,https://in.linkedin.com/company/lenskart-com,Success
HDFC,https://in.linkedin.com/company/hdfc-bank,Success
NTT DATA,https://www.linkedin.com/company/nttdata,Success
Sun Life Financial,https://ca.linkedin.com/company/sun-life-financial,Success
Amdocs,https://www.linkedin.com/company/amdocs,Success
Better.com,https://www.linkedin.com/company/betterdotcom,Success
zs,https://www.linkedin.com/company/zs-associates,Success
Aon,https://www.linkedin.com/company/aon,Success
S&P Global,https://www.linkedin.com/company/spglobal,Success
Webhelp,https://www.linkedin.com/company/webhelp,Success
Globiva,https://in.linkedin.com/company/globiva-services,Success
Spinny,https://in.linkedin.com/company/spinny,Success
